Looking for solar generator for school. | Category: education materials
Crowdfunding support needed for eviction notice. | Category: financial aid
Need a heater urgently, willing to pay $50. | Category: electronics
Need volunteers to help distribute power bank to affected areas. | Category: disaster recovery
Urgently need sleeping bag for disaster relief efforts. | Category: disaster recovery
Need help getting winter coat for college. | Category: education materials
Can anyone donate a power bank to a family in need? | Category: furniture
Seeking a community group that supports animal rescue efforts. | Category: social assistance
Looking for a iPhone 14 under $1500. | Category: electronics
Can anyone donate a heater to a family in need? | Category: furniture
Need a ride to school, can pay $1500. | Category: transportation
Looking for volunteers to help with homeless shelters. | Category: social assistance
Need help covering car repairs, any support appreciated. | Category: financial aid
Seeking emergency financial assistance for unexpected expenses. | Category: financial aid
Seeking donations of power bank for a local clinic. | Category: medical supplies
Does anyone have extra power bank to spare? | Category: medical supplies
Seeking a restaurant that donates blankets. | Category: food
Seeking donations of groceries for hurricane victims. | Category: disaster recovery
Looking for volunteers to help with fire victims. | Category: social assistance
Urgently need a medication for daily commuting. | Category: transportation
Urgently need a Xbox 360 for daily commuting. | Category: transportation
Need a ride to train station, can pay $500. | Category: transportation
Looking for a handyman to fix Samsung Galaxy S21, budget $1500. | Category: home repairs
Seeking donations of gaming PC for hurricane victims. | Category: disaster recovery
Seeking donations of baby formula for a local clinic. | Category: medical supplies
Does anyone have extra power bank to spare? | Category: medical supplies
Looking for a PlayStation 5 under $1000. | Category: electronics
Looking for a support network for animal rescue efforts. | Category: social assistance
Looking for grants to fund fire victims. | Category: financial aid
Need a ride to grocery store, can pay $50. | Category: transportation
Emergency: Need textbooks for displaced families. | Category: disaster recovery
Seeking a restaurant that donates Xbox 360. | Category: food
DIY help needed for textbooks, any tips? | Category: home repairs
Looking for fresh winter coat for delivery. | Category: food
Need volunteers to help distribute medication to affected areas. | Category: disaster recovery
Seeking professional repair service for bicycle. | Category: home repairs
Need assistance with moving furniture, any help appreciated. | Category: social assistance
Seeking donations of baby formula for hurricane victims. | Category: disaster recovery
Seeking donations of textbooks for a local clinic. | Category: medical supplies
Urgent: Need transporting supplies assistance, please help! | Category: social assistance
Crowdfunding support needed for eviction notice. | Category: financial aid
Urgent: Need bicycle for an upcoming exam. | Category: education materials
Need assistance with moving furniture, any help appreciated. | Category: social assistance
Does anyone have extra groceries to spare? | Category: medical supplies
Emergency: Need bicycle for a family in crisis. | Category: food
Looking for a used sleeping bag, budget $100. | Category: transportation
Crowdfunding support needed for medical emergency. | Category: financial aid
Any free meal programs providing solar generator? | Category: food
Looking for grants to fund homeless shelters. | Category: financial aid
Need volunteers to help distribute tent to affected areas. | Category: disaster recovery
Urgent: Need toiletries for an upcoming exam. | Category: education materials
Can someone donate a sleeping bag? Needed for work. | Category: electronics
Seeking a community group that supports fire victims. | Category: social assistance
Seeking a community group that supports animal rescue efforts. | Category: social assistance
Can someone donate a power bank? Needed for work. | Category: electronics
Seeking donations of winter coat for a local clinic. | Category: medical supplies
Looking for a iPhone 14 under $1500. | Category: electronics
Seeking donations of couch for a local clinic. | Category: medical supplies
Need volunteers to help distribute heater to affected areas. | Category: disaster recovery
Seeking affordable tent for study purposes. | Category: education materials
